PSA-Nr.;Aufstellort;Bezirk/Gebiet;Abschnitt/-von;Abschnitt/-bis;Stellplätze;Roter Punkt;Gebuehrenzeit;Gebuehr je 15 Minuten;HPD/Std.;Tagesgebuehr;Tarifzone;GeoKoordinateNord;GeoKoordinateOst
1;Deutzer Freiheit 53;Deutz I;Siegburger Str.;Düppelstr.;9;;Mo-Sa 09:00 - 21:00;1,00 €;2;;500070;50,93686078;6,97249396
2;Offenbachplatz 3;City/Martinsviertel;;;8;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,93795;6,95324
3;Turkuplatz;Chorweiler;Athener Ring;Willi-Suth-Allee;33;;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;51,01951411;6,89767251
4;Neusser Str. 453;Nippes;Bergstraße;Mauenheimer Gürtel;14;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,97248481;6,95098355
5;Liverpooler Platz A;Chorweiler;Platzfläche;;45;;"Mo-Mi+Fr 09:00 - 20:00; Do + Sa 15:00 - 20:00";0,50 €;4;;500028;51,021261;6,898092
6;Haselnußweg 36;Chorweiler;Mercatorstr.;Taborplatz;10;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;51,0115669;6,90582272
7;Jahnstr. 9;Griechenmarktviertel;Mauritiuswall;Humboldtstr.;51;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9319231;6,94235454
8;Jan-Wellem-Str. 2;Mülheim;Platz;;65;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,96031625;7,00485467
9;Bonner Wall;Südliche Neustadt II;Bonner Straße;Ohmstraße;0;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,91632612;6,96049601
10;Vorsterstr. 68;Kalk;Parkplatz;;82;Kalk;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,93850857;7,00195554
11;Buchheimer Str. 56 Platz;Mülheim;;;33;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,962538;7,003347
12;Kunibertsklostergasse 16;Kunibertsviertel;Kunibertsklostergasse;Dagobertstr.;11;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,947091;6,962663
13;Hauptstr. 85 / Rathaus;Rodenkirchen;;;35;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,891902;6,996591
14;Mühlenstr. 49 Platz;Porz;;;45;;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;500023;50,88294766;7,0584476
15;Deutzer Freiheit 85-87;Deutz I;Düppelstr.;Neuhöffer Str.;12;;Mo-Sa 09:00 - 21:00;1,00 €;2;;500070;50,9367979;6,9744798
16;Deutzer Freiheit 106;Deutz I;Neuhöffer Str.;Reischplatz;7;;Mo-Sa 09:00 - 21:00;1,00 €;2;;500070;50,93683925;6,9763577
17;Kirchstr. 2;Rodenkirchen;;;23;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,894706;6,993639
18;Fuchsstraße (Parkplatz);Ehrenfeld;Venloer Str.;Sportplatz;56;EHRE III;Mo-Sa 09:00 - 21:00;0,50 €;12;Ja;500102;50,946166;6,928009
19;Holweider Str. ggü. 124;Mülheim;Carls-Werk-Str.;Zehntstr.;10;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;4;;500029;50,9641817;7,0170767
20;Yitzhak-Rabin-Platz;Rathenauviertel;Engelbertstr.;Hohenstaufenring;40;RATH;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,932967;6,938951
21;Oststr. 12 Platz;Rodenkirchen;Platzfläche;;37;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,892976;6,997118
22;Barbarastr. 47-49 Platz;Rodenkirchen;;;44;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,893417;6,997457
23;Frohngasse (Zoobrücke links);lrh. ohne BWP;;;78;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,956345;6,972462
24;An der Flora (Zoobrücke rechts);lrh. ohne BWP;rückseitig zu PSA 2779;;64;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,957161;6,970983
25;Am Marktplatz 1 (Ensen)Platz;Porz;;;63;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,897776;7,028526
26;Kyotostr. 17;Gereonsviertel;Gereonsmühlengasse;Klingelpütz;21;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,945272;6,948464
27;Im Weidenbruch 135;Mülheim;;;25;;Mo-Sa 09:00 - 18:00;0,50 €;1;;500037;50,981464;7,03348
28;An der Kemperwiese 4;Mülheim;Platz;;43;;"Mo-Mi+Fr 09:00 - 18:00; Do 14:00 - 18:00 + Sa 09:00 - 14:00";0,50 €;4;;500035;50,975594;7,074815
29;Hansaring (Mittelinsel);Eigelsteinviertel;Ritterstraße;Bremer Str.;64;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,948164;6,950089
30;Ostlandstraße ggü. 26;Weiden-Süd;Tilsiter Weg;Göttinger Straße;5;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,935579;6,839054
31;Weyerstr. 100;Griechenmarktviertel;Weyerstr.;Neue Weyerstr.;52;GRI;Mo-Sa 09:00 - 23:00;1,00 €;1;;500002;50,93011735;6,94262951
32;Ostlandstraße 30;Weiden-Süd;Tilsiter Weg;Göttinger Straße;7;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,935596;6,838807
33;Vorgebirgstr. 39;Südliche Neustadt II;Loreleystr.;Volksgartenstr.;19;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,920104;6,950581
34;Vorgebirgstr. 19;Südliche Neustadt II;Volksgartenstr.;Vondelstr.;7;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,921568;6,951445
35;Volksgartenstr. 20 (Insel);Südliche Neustadt II;Metzer Str.;Vorgebirgstr.;86;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,92062765;6,95201521
36;Volksgartenstr. 4 (Insel);Südliche Neustadt II;Martin-Luther-Platz;;29;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9199679;6,95351556
37;Rolandstr. 95 Insel;Südliche Neustadt II;Merowinger Str.;Maria-Hilf-Str.;42;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,919528;6,954716
38;Rolandstr. 80 Insel;Südliche Neustadt II;Merowinger Str.;Maria-Hilf-Str.;51;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,919349;6,955553
39;Rolandstr. 57 Insel;Südliche Neustadt II;Maria-Hilf-Str.;Zugweg;57;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,918842;6,957044
40;Brunostr. 17;Südliche Neustadt II;Elsaßstr.;Sachsenring;13;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,921823;6,956164
41;Metzer Str. 5;Südliche Neustadt II;Elsaßstr.;Karolingerring;20;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,92165;6,955302
42;Siegfriedstr. 17 Platz;Südliche Neustadt II;Kirchplatz;;39;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,917775;6,962894
43;Teutoburgerstr. 12 Insel;Südliche Neustadt II;Bonner Str.;Alteburger Str.;92;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,91856;6,96153
44;Teutoburgerstr. 27 Insel;Südliche Neustadt II;Alteburger Str.;Mainzer Str.;65;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,918965;6,963659
45;Mainzerstr. 1-3 Insel;Südliche Neustadt II;Ubierring;Maternusstr.;35;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,92118;6,96377
46;Mainzerstr. 25 Insel;Südliche Neustadt II;Maternusstr.;Teutoburger Str.;81;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,920213;6,964253
47;Mainzerstr. 47 Insel;Südliche Neustadt II;Teutoburger Str.;Alteburger Str.;69;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,918285;6,96495
48;Mainzerstr. 78 Insel;Südliche Neustadt II;Teutoburger Str.;Alteburger Str./Insel;73;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,917388;6,965097
49;Maternusstr. 8;Südliche Neustadt II;Alteburger Str.;Mainzer Str.;30;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,920801;6,963065
50;Maternusstr. 31;Südliche Neustadt II;Trajanstr.;Agrippinaufer;26;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,920706;6,965284
51;Claudiusstr. 1 LT 6 Park;Südliche Neustadt II;Nordteil;;63;SÜD II;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,920158;6,96515
52;Claudiusstr. 1 FH;Südliche Neustadt II;Südteil;;67;SÜD II;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,919274;6,967043
53;Merowingerstr. 69;Südliche Neustadt II;Vondelstr.;Rolandstr.;16;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,920023;6,954756
54;Merowingerstr. 37;Südliche Neustadt II;Elsaßstr.;Vondelstr.;9;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9200091;6,9547114
55;Bonner Wall 6;Südliche Neustadt II;Ohmstr.;Zugweg;14;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9200091;6,9547114
56;Bonner Wall 17;Südliche Neustadt II;Ohmstr.;Zugweg;24;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9200091;6,9547114
57;Trajanstr. 39;Südliche Neustadt II;Ubierring;Maternusstr.;79;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,92109237;6,96609929
58;Trajanstr. 15;Südliche Neustadt II;Maternusstr.;Mainzer Str.;66;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,92001784;6,965337
